# Matter power spectrum P(k) at redshift z=0
# for k=1.05341e-05 to 9.75079 h/Mpc,
# number of wavenumbers equal to 760
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.894774658899e-01       2.208965899052e+02 
       5.926961897351e-01       2.180822313960e+02 
       5.959149136809e-01       2.153122330961e+02 
       5.991336377255e-01       2.125853400465e+02 
       6.023523618674e-01       2.099010827298e+02 
       6.055710861050e-01       2.072589992050e+02 
       6.087898104368e-01       2.046596875873e+02 
       6.120085348612e-01       2.021026229122e+02 
       6.152272593769e-01       1.995882417687e+02 
       6.184459839824e-01       1.971167026545e+02 
       6.216647086763e-01       1.946880697957e+02 
       6.248834334573e-01       1.923020804125e+02 
       6.281021583239e-01       1.899587308022e+02 
       6.313208832749e-01       1.876565366977e+02 
       6.345396083091e-01       1.853956159798e+02 
       6.377583334250e-01       1.831736710147e+02 
       6.409770586216e-01       1.809898297779e+02 
       6.441957838975e-01       1.788428221017e+02 
       6.474145092517e-01       1.767309762214e+02 
       6.506332346828e-01       1.746529896523e+02 
       6.538519601899e-01       1.726084680613e+02 
       6.570706857718e-01       1.705955916059e+02 
       6.602894114273e-01       1.686136861018e+02 
       6.635081371555e-01       1.666625287777e+02 
       6.667268629552e-01       1.647411523030e+02 
       6.699455888254e-01       1.628489745929e+02 
       6.731643147651e-01       1.609856317947e+02 
       6.763830407733e-01       1.591513108020e+02 
       6.796017668491e-01       1.573452063600e+02 
       6.828204929914e-01       1.555674286265e+02 
       6.860392191994e-01       1.538173102103e+02 
       6.892579454721e-01       1.520944744898e+02 
       6.924766718086e-01       1.503993320001e+02 
       6.956953982081e-01       1.487303921199e+02 
       6.989141246696e-01       1.470879299586e+02 
       7.021328511923e-01       1.454713411840e+02 
       7.053515777753e-01       1.438799828769e+02 
       7.085703044179e-01       1.423130003855e+02 
       7.117890311192e-01       1.407702901697e+02 
       7.150077578784e-01       1.392508117082e+02 
       7.182264846948e-01       1.377537558156e+02 
       7.214452115676e-01       1.362796477040e+02 
       7.246639384960e-01       1.348267002511e+02 
       7.278826654792e-01       1.333948125308e+02 
       7.311013925167e-01       1.319843318972e+02 
       7.343201196076e-01       1.305937994020e+02 
       7.375388467512e-01       1.292235396216e+02 
       7.407575739469e-01       1.278730313242e+02 
       7.439763011940e-01       1.265422667917e+02 
       7.471950284918e-01       1.252302398189e+02 
       7.504137558397e-01       1.239374848284e+02 
       7.536324832369e-01       1.226635043386e+02 
       7.568512106830e-01       1.214078541724e+02 
       7.600699381773e-01       1.201703840957e+02 
       7.632886657190e-01       1.189505595519e+02 
       7.665073933078e-01       1.177485383936e+02 
       7.697261209429e-01       1.165635998444e+02 
